term_str,PC0,PC1,PC2,PC3,PC4
life,-0.004894410023315387,-0.007845930609093697,-0.0043291256141471095,0.004813036120858399,0.0019002128993769111
dead,0.003479850994801185,-0.0023086271099880297,0.0023173072850457524,-0.001116220913394515,-0.00018156539093410091
why,-0.0019899207338417014,0.00126959527222436,-0.0004359873640598517,0.00016495214454313202,-0.001092936019054214
side,-0.0027894881025178264,-0.0017183958680909617,-0.00016361934111329797,0.0033337691904060584,-0.003943135008503819
dear,0.00019629739168629343,0.003783657542848115,0.007307988839306383,0.0020584616828800296,-0.0014417690288298626
wanted,-0.006323587582352637,0.002804365442232843,0.002437865395971978,-9.668665093127183e-05,0.00438664430210594
hair,-0.009902782913041286,-0.012675554404783759,0.014347232759911318,-0.014430033120733805,-0.016264748788242505
open,0.00213644168596969,0.0021107114147694314,0.00781453285856941,0.006797624167100598,-0.0016509791670163817
bride,-0.007761106017159323,-0.013720749311537798,0.00789608256313997,0.00373244444710462,-0.022502251941480134
ah,-0.002083358275781819,0.0008045623262083703,-0.0016553179902999782,-0.005053544568633118,-0.007759758760252393
care,-0.0015410258087672746,0.0007807298691903436,0.000515015073665236,0.004388846668080952,-0.00269842815658781
knew,-0.004680582140024902,-0.0026140113843368764,0.0007048649383805817,0.0030482424617359993,-0.0013996882618017232
run,0.0010757580924807518,0.004795565013068713,0.0010518451032825674,-0.0004217754004898448,-0.0013834905780404096
many,0.0008322494951190312,-0.0024696632933017162,0.001880048100079405,0.003958750364534998,0.002944596422933871
fine,-0.002106262474173684,-0.0017521469719067064,-0.00067705990501083,0.004669521762523828,-0.0024362928778571312
say,-0.0033549144594357217,0.0015491079700496679,-0.0010708113717782,-0.0009158056419857897,-0.0031271267321379254
oh,0.0023332881425492985,0.0034713708963468753,-0.006026510514202638,-0.0011129415951424135,-0.0002898852921454222
full,-0.0004231921794381737,0.00012047499468234861,-0.00045062173824586153,-0.0013906713232210547,0.0014437517641302082
yes,-1.5443730461789133e-05,-0.0008131070127707573,-0.004055917033764575,-0.006313809605180417,-0.0036696412210893733
without,-0.0029788887951934817,0.0009267510915941376,-0.0009205212229980012,-0.0003858122637354762,-0.0007768554171926078
enough,-0.004306980153847705,0.0011280888984227845,-0.008720336846892402,0.002624729041504586,-0.005834963534552939
want,0.000851572064085697,0.00059651412560435,0.0012900424170881077,0.003725710701649106,-0.00558582325187085
seven,-0.011581583109898564,0.0020081367587082865,0.005446299863997142,0.009948869738488431,0.018035258364115396
happened,-0.0019268248354456375,-0.004043710353457131,0.001612923626200262,0.0002410833760177383,-0.002669459371501631
master,0.01174240456998959,0.009604449510169803,-0.022951489345975216,0.0034466658003885183,-0.009099727432297401
thing,-0.0028477628049046037,0.0028656952984712934,-0.0017733766217911202,0.00517807153996025,-0.003807827990130435
third,-0.004461857808156084,-0.002156623758429922,0.0004003731820428184,0.000997585922847983,0.002573330965944534
wished,-0.0027876292926424543,-0.0028132948492559495,0.00202902965887211,-0.001375921774574109,-8.886027590741681e-05
better,-7.446312706390921e-05,0.0028734206167774605,-0.0019246168522985155,0.003366029406074063,-0.0007185562770114448
whole,-0.0043126784883359805,-0.00018719331380960593,0.0013845754701411305,-0.003236026135689249,0.0028403028119098573
longer,-0.0015338913941313188,-0.0008653955874273403,-0.0008693940698765812,0.0004083201724980931,0.00046598760958563263
t,-0.0013147366023700314,0.0057663594704641784,-0.0029764411666978667,0.0023073777215355936,-0.005374944762929463
leave,-0.002727663948723896,0.0008094276896080681,0.004072548610900242,-0.0017003148850448931,0.004283194644560412
yet,-0.0015206297272947642,0.00026084696477094723,-0.004273279175015678,0.003031725050296713,-0.004191033045221529
thou,-0.01081365627242685,-0.013649602927561871,-0.006892368394227151,0.03295947085001079,-0.014825905634158884
lived,-0.0023573264020024165,-0.0021539282437412874,0.0005146222037370657,-3.6824257057060376e-05,-0.0026620238987424107
room,0.002079755253683476,0.0013561651971374614,0.0005217670920381761,-4.764066408479928e-05,-0.0013452923002625415
money,-0.004798445904534667,0.003540148734111146,-0.01843369299499586,0.005455590840720562,-0.004076810350540154
its,-0.0027792942392169426,-5.4723279197864715e-05,0.0022032717214834235,-0.0034120282797284285,0.0031725071550821257
window,-0.0018925460377151205,0.00021801426737127016,0.0009352729434475234,-0.004228890647779729,-0.004599686141045983
